time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,left_right_balance,left_pedal_smoothness,right_pedal_smoothness,left_torque_effectiveness,right_torque_effectiveness,respiration
0,0,0,100,0.0,43.8,52.61701,13.301541,5.346,15,0,,,,,,
1,0,0,103,5.2,45.6,52.616966,13.301501,5.57,15,0,,,,,,
2,0,0,106,10.98,45.8,52.616924,13.301452,5.468,15,0,,,,,,
3,0,0,108,16.72,45.8,52.61688,13.301406,5.72,15,0,,,,,,
4,97,13,114,23.32,46.0,52.61683,13.301357,5.748,15,71,48,,,,,
5,161,74,118,29.29,46.2,52.616783,13.301312,5.944,15,21,61,0.0,24.5,0.0,81.5,27.16
6,203,74,119,35.25,46.0,52.616737,13.301263,6.0,15,26,61,25.5,24.0,79.5,80.5,27.16
7,203,78,119,41.74,45.8,52.616688,13.301214,5.944,15,25,49,25.5,24.5,86.5,82.0,27.16
8,180,77,119,48.41,45.6,52.616634,13.301167,6.149,15,22,52,22.5,23.5,74.5,77.5,27.16
9,152,77,119,55.0,45.6,52.61658,13.3011265,6.046,15,19,50,23.5,22.5,76.5,77.0,27.16
10,0,77,120,61.8,45.4,52.616524,13.301093,6.037,15,0,52,25.0,24.0,78.0,75.5,27.75
11,0,77,120,67.38,45.4,52.616478,13.301066,5.552,15,0,52,25.0,24.0,78.0,75.5,27.75
12,0,0,120,71.77,45.4,52.616436,13.301037,5.02,15,0,,,,,,27.75
13,0,0,121,76.19,45.4,52.616405,13.300991,4.199,15,0,,,,,,27.75
14,0,0,120,80.52,45.4,52.61639,13.300924,4.264,15,0,,,,,,27.75
15,0,0,120,85.05,45.4,52.616398,13.300855,4.591,15,0,,,,,,28.34
16,0,0,120,89.41,45.4,52.616417,13.300801,4.796,15,0,,,,,,28.34
17,22,17,120,93.57,45.4,52.616447,13.300758,5.104,15,12,0,21.5,1.5,89.5,15.5,28.34
18,204,64,120,98.62,45.4,52.616486,13.3007145,5.291,15,30,52,26.5,32.0,90.0,94.5,28.34
19,212,67,121,103.39,45.6,52.61652,13.300668,5.272,15,30,52,25.5,31.0,84.5,91.5,28.34
20,188,69,122,108.73,45.6,52.616554,13.3006115,5.505,15,26,52,25.5,31.0,84.5,91.5,28.34
21,208,72,122,115.01,45.6,52.6166,13.300555,5.776,15,28,48,24.0,28.5,82.0,87.5,28.34
22,241,72,122,121.22,45.4,52.616642,13.300502,5.692,15,32,48,25.5,26.5,87.5,84.0,28.34
23,222,73,123,127.18,45.2,52.616688,13.300453,5.981,15,29,48,29.5,28.0,96.5,89.0,28.34
24,237,75,123,133.22,45.2,52.616734,13.300403,6.13,15,30,53,26.5,33.5,92.0,93.5,28.34
25,247,76,124,139.9,45.0,52.616783,13.300344,6.261,15,31,53,26.5,33.5,92.0,93.5,29.92
26,239,78,124,146.4,45.0,52.61683,13.300289,6.354,15,29,53,23.0,27.0,81.5,89.0,29.92
27,223,80,124,153.07,45.0,52.61688,13.300234,6.177,15,27,50,27.5,26.0,88.5,87.0,29.92
28,219,80,125,159.74,45.2,52.61693,13.300183,6.373,15,26,49,25.5,27.0,87.0,85.0,29.92
29,206,80,125,165.85,45.2,52.616974,13.300129,6.541,15,25,51,25.5,27.0,87.0,85.0,29.92
30,214,81,126,172.44,45.2,52.617023,13.300074,6.494,15,25,52,25.0,27.0,83.5,86.0,30.57
31,213,81,127,179.14,45.2,52.61707,13.300017,6.597,15,25,51,27.5,29.0,91.0,89.0,30.57
32,195,81,127,185.05,45.2,52.61712,13.299967,6.578,15,23,51,26.0,27.5,88.0,89.0,30.57
33,207,83,128,192.11,45.4,52.61717,13.299905,6.597,15,24,49,25.0,27.0,84.5,84.5,30.57
34,173,83,128,199.55,45.4,52.617226,13.299846,6.615,15,20,53,25.5,27.5,86.0,84.5,30.57
35,231,83,128,206.64,45.4,52.61728,13.299791,6.699,15,27,48,25.0,27.5,85.5,84.5,29.83
